Year,Flow_cfs
1925,980
1926,741
1927,1630
1928,829
1929,903
1930,418
1931,549
1932,686
1933,1320
1934,850
1935,614
1936,1720
1937,1060
1938,1680
1939,760
1940,1380
1941,1030
1942,820
1943,1020
1944,998
1945,3500
1946,1100
1947,1010
1948,830
1949,1030
1950,452
1951,2530
1952,1740
1953,1860
1954,1270
1955,2200
1956,1530
1957,795
1958,1760
1959,806
1960,1190
1961,952
1962,1670
1963,824
1964,702
1965,1490
1966,1600
1967,800
1968,3330
1969,1540
1970,2130
1971,3770
1972,2240
1973,3210
1974,2940
1975,2720
1976,2440
1977,3130
1978,4500
1979,2890
1980,2470
1981,1900
1982,1980
1983,2550
1984,3350
1985,2120
1986,1850
1987,2320
1988,1630
1989,2380
