year_nu	month_nu	mean_va
1929	1	8115
1929	2	6015
1929	3	10840
1929	4	2799
1929	5	11790
1929	6	1252
1929	7	4167
1929	8	381.8
1929	9	1202
1929	10	866.9
1929	11	6151
1929	12	3551
1930	1	7095
1930	2	8129
1930	3	4299
1930	4	1653
1930	5	635.9
1930	6	94.1
1930	7	17
1930	8	13.7
1930	9	11.6
1930	10	5.49
1930	11	12.2
1930	12	40.7
1931	1	110.9
1931	2	1532
1931	3	3670
1931	4	8366
1931	5	1556
1931	6	296.2
1931	7	839.4
1931	8	1362
1931	9	360.4
1931	10	387.8
1931	11	439.7
1931	12	7691
1932	1	12070
1932	2	11360
1932	3	8047
1932	4	7970
1932	5	1242
1932	6	714
1932	7	4250
1932	8	785.8
1932	9	130.7
1932	10	125
1932	11	1064
1932	12	1521
1933	1	13230
1933	2	8488
1933	3	12010
1933	4	9593
1933	5	6456
1933	6	709.2
1933	7	979.7
1933	8	723
1933	9	1867
1933	10	153.2
1933	11	275
1933	12	5528
1934	1	3931
1934	2	344.3
1934	3	8705
1934	4	1729
1934	5	569.2
1934	6	1080
1934	7	368.8
1934	8	3389
1934	9	450.9
1934	10	673.7
1934	11	299.4
1934	12	801.5
1935	1	8171
1935	2	3740
1935	3	17050
1935	4	14230
1935	5	13300
1935	6	8321
1935	7	4282
1935	8	5557
1935	9	6063
1935	10	271.4
1935	11	4276
1935	12	4897
1936	1	8582
1936	2	6208
1936	3	9395
1936	4	11720
1936	5	740.2
1936	6	95.3
1936	7	29.5
1936	8	197.7
1936	9	440
1936	10	156.5
1936	11	2285
1936	12	3056
1937	1	36630
1937	2	7314
1937	3	2631
1937	4	4709
1937	5	5158
1937	6	1505
1937	7	626.5
1937	8	343.2
1937	9	81.8
1937	10	35.1
1937	11	66.9
1937	12	1299
1938	1	2783
1938	2	5414
1938	3	10390
1938	4	5616
1938	5	2238
1938	6	972.4
1938	7	9225
1938	8	2965
1938	9	1177
1938	10	102.2
1938	11	693.5
1938	12	1328
1939	1	6456
1939	2	22760
1939	3	14090
1939	4	14520
1939	5	1009
1939	6	2341
1939	7	6146
1939	8	1791
1939	9	89.4
1939	10	55.4
1939	11	108.7
1939	12	103.1
1940	1	789.7
1940	2	7906
1940	3	8352
1940	4	10890
1940	5	1793
1940	6	4249
1940	7	784
1940	8	260.5
1940	9	238.7
1940	10	98.5
1940	11	238.1
1940	12	1307
1941	1	4355
1941	2	974.9
1941	3	1524
1941	4	1222
1941	5	371.9
1941	6	1475
1941	7	3107
1941	8	235.6
1941	9	156.2
1941	10	68.4
1941	11	1315
1941	12	1487
1942	1	2665
1942	2	4326
1942	3	6570
1942	4	5338
1942	5	1153
1942	6	3167
1942	7	4900
1942	8	2956
1942	9	686.2
1942	10	485.5
1942	11	7668
1942	12	10240
1943	1	8714
1943	2	6695
1943	3	17090
1943	4	7252
1943	5	6521
1943	6	2235
1943	7	929.3
1943	8	194.2
1943	9	70.2
1943	10	26.3
1943	11	48.4
1943	12	66.4
1944	1	615.2
1944	2	1933
1944	3	11100
1944	4	8151
1944	5	2987
1944	6	578
1944	7	131.2
1944	8	417.2
1944	9	531.8
1944	10	266.9
1944	11	245.5
