NO3,ppt,NO3_res
5.7,2.79,0.558566054862188
2.85,8.13,0.163391620553701
1.05,17.02,-0.629296452937811
5.95,16.76,1.10101575912852
2.52,18.29,0.266222141597327
2.6,10.67,0.147329670772949
2.64,13.97,0.237674361103487
5.04,42.16,1.19203668134718
4.5,29.21,0.976471121135096
1.05,40.39,-0.388528486862852
5.2,5.33,0.647101793293687
1.5,9.14,-0.44583784514845
5.7,10.41,0.925411458767765
7.1,1.52,0.608989527681371
1.95,54.61,0.314547487775434
6.55,19.81,1.24366994384268
3.55,2.79,0.0850474835090078
1.7,5.08,-0.484312728093107
3.95,9.4,0.530227283951974
1.7,35.56,0.0578263207683832
1.2,38.35,-0.269436517842548
1.55,21.84,-0.170360567229638
4.1,0.76,-0.133232108272007
2.64,18.29,0.31274215723222
1.6,13.21,-0.278685512666536
1,72.39,-0.274756925353141
3.95,4.32,0.313625131019631
5.06,0.25,-0.232620948558103
6.97,0.25,0.0876277929149554
16.3,1.27,1.3899964774247
5.6,1.27,0.321597967353086
1.85,13.72,-0.122949829369689
0.9,32.51,-0.60314592302377
1.74,43.43,0.136784283734143
5.25,13.21,0.909538934691261
1.72,50.29,0.166082407432124
4.54,9.91,0.684158683390148
1.61,3.3,-0.658893598148532
4.07,25.65,0.839827199367577
1.39,31.75,-0.17507204882576
4.79,5.33,0.564973579129129
0.84,11.18,-0.969527011784757
0.87,3.05,-1.2963385404182
2.65,9.4,0.131071345037074
1.65,23.62,-0.086011374907465
2.48,22.86,0.312360099350745
1.87,53.59,0.267403591089642
7.91,0.51,0.41277127381379
2.96,30.99,0.574063403192161
2.59,17.78,0.285742119801289
3.52,17.53,0.588600048001434
2.27,22.86,0.223881370667166
1.93,11.18,-0.137653621723185
1.85,7.87,-0.277797173412702
1.63,31.5,-0.0179981986154431
2.2,21.84,0.179841862203477
2.18,11.18,-0.0158487478389814
2.15,24.13,0.184632744813679
1.45,59.94,0.0442272724694054
2.65,7.37,0.0632891381536866
0.7,20.57,-0.981981475210696
0.43,12.45,-1.60916749434647
0.99,27.69,-0.552545166904094
1.87,15.49,-0.0783911757758712
3.16,6.86,0.219322733522528
2.25,4.57,-0.233486562656656
1.46,21.84,-0.230179062440548
2.47,6.1,-0.0597444968284353
1.24,25.15,-0.354188935345648
1.25,12.7,-0.53651483624761
2.4,2.29,-0.361452895617493
4.39,16.26,0.788515678976592
2.69,13.21,0.240852051701477
2.08,17.27,0.0583438210083852
2.73,7.37,0.0930311073524243
2.38,18.8,0.216726018338697
2.76,23.37,0.425479482037252
1.81,16.76,-0.0890486151512882
3.39,5.84,0.244731832423816
5.29,1.78,0.358705461735187
0.59,4.57,-1.57204952095536
2.65,9.91,0.145791311335022
3.86,7.11,0.429390477272412
3.44,34.8,0.756650565880569
2.04,11.68,-0.0700344554960479
0.54,3.3,-2.55131391656872
2.64,2.79,-0.211121202820092
1.03,50.8,-0.343871934087535
2.04,19.81,0.0771547020516489
2.62,36.07,0.4943397370228
1.24,21.34,-0.399956569021172
0.49,20.83,-1.33515699472572
0.98,4.83,-1.04920339801357
1.28,11.43,-0.54215220851099
1.54,24.13,-0.149052680900355
1.51,30.23,-0.105933894512695
1.95,16.26,-0.0229841755348329
6.85,6.6,0.9822347007456
1.4,8.13,-0.547455137105646
2.17,4.57,-0.269689611320617
2.32,5.59,-0.146720264578131
2.75,7.11,0.0903242054741523
3.73,8.89,0.457378652129197
5,1.78,0.302325128299079
4.96,5.84,0.625307651768293
1.85,14.48,-0.107929219549954
3.31,9.4,0.353459894427915
